NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
CHRXQ23	CHRXQ23		43	-0.32376403	-1.2696586	0.14489795	0.6343846	0.995	9970	tags=49%, list=35%, signal=75%	
CHR6Q22	CHR6Q22		83	-0.28586355	-1.2683246	0.12943633	0.62113124	0.995	7533	tags=35%, list=27%, signal=47%	
CHR5Q31	CHR5Q31		218	-0.26424035	-1.2670958	0.1108742	0.60818774	0.995	4233	tags=24%, list=15%, signal=28%	
CHR8Q23	CHR8Q23		27	-0.37634337	-1.2631385	0.16216215	0.60658115	0.995	9555	tags=44%, list=34%, signal=67%	
CHR1Q41	CHR1Q41		65	-0.3047399	-1.2605746	0.15175097	0.599353	0.995	6149	tags=31%, list=22%, signal=39%	
CHR2P14	CHR2P14		51	-0.33258826	-1.2551187	0.1870229	0.6029547	0.995	7267	tags=37%, list=26%, signal=50%	
CHR2Q12	CHR2Q12		46	-0.3104083	-1.2549125	0.14128035	0.5884558	0.995	2286	tags=17%, list=8%, signal=19%	
CHRXQ11	CHRXQ11		18	-0.35990852	-1.2536943	0.17063493	0.57826406	0.995	9889	tags=61%, list=35%, signal=94%	
CHR7P12	CHR7P12		34	-0.3268113	-1.2449726	0.1691023	0.59415144	0.996	3656	tags=26%, list=13%, signal=30%	
CHR18Q11	CHR18Q11		44	-0.31937975	-1.2407889	0.17213115	0.59245867	0.996	10077	tags=43%, list=35%, signal=67%	
CHR8Q21	CHR8Q21		122	-0.2566524	-1.2395705	0.09247312	0.58269554	0.996	4023	tags=21%, list=14%, signal=25%	
CHR13Q14	CHR13Q14		169	-0.2585815	-1.2357547	0.10970464	0.58232313	0.996	5432	tags=27%, list=19%, signal=33%	
CHR2P21	CHR2P21		63	-0.28819174	-1.2342427	0.17558886	0.5742669	0.996	4388	tags=24%, list=15%, signal=28%	
CHR13Q22	CHR13Q22		33	-0.3369504	-1.2311475	0.20289855	0.57178736	0.996	3172	tags=21%, list=11%, signal=24%	
CHR13Q31	CHR13Q31		30	-0.35096696	-1.2196202	0.22023809	0.5956459	0.998	7648	tags=37%, list=27%, signal=50%	
CHR9P11	CHR9P11		25	-0.4139616	-1.2180846	0.18763326	0.5885198	0.998	6700	tags=44%, list=24%, signal=58%	
CHR3P13	CHR3P13		24	-0.33290073	-1.2119987	0.20382166	0.5960752	0.998	9127	tags=50%, list=32%, signal=74%	
CHR1Q25	CHR1Q25		122	-0.2525966	-1.2034326	0.15367965	0.61239845	0.999	9584	tags=43%, list=34%, signal=65%	
CHR5P14	CHR5P14		20	-0.35296443	-1.1993605	0.22834645	0.61414385	0.999	4518	tags=30%, list=16%, signal=36%	
CHR15Q15	CHR15Q15		114	-0.2273016	-1.1921867	0.13389121	0.6261188	0.999	6033	tags=25%, list=21%, signal=31%	
CHR14Q31	CHR14Q31		35	-0.30482432	-1.1902863	0.20081967	0.62087697	0.999	11568	tags=60%, list=41%, signal=101%	
CHR11Q25	CHR11Q25		18	-0.38692427	-1.185192	0.25820568	0.6249393	0.999	3889	tags=28%, list=14%, signal=32%	
CHR3P25	CHR3P25		111	-0.23741803	-1.1721762	0.17234468	0.6571637	0.999	6532	tags=25%, list=23%, signal=33%	
CHR11P14	CHR11P14		30	-0.32335395	-1.1698416	0.24509804	0.6529781	0.999	9017	tags=43%, list=32%, signal=63%	
CHR11Q14	CHR11Q14		95	-0.2397908	-1.169747	0.19753087	0.6420222	0.999	9492	tags=44%, list=33%, signal=66%	
CHR7Q11	CHR7Q11		182	-0.22936939	-1.1683657	0.16186252	0.63580054	0.999	5463	tags=25%, list=19%, signal=31%	
CHR4Q35	CHR4Q35		70	-0.2826627	-1.1652691	0.21995927	0.6351157	0.999	6239	tags=33%, list=22%, signal=42%	
CHR5Q21	CHR5Q21		43	-0.3120297	-1.1648229	0.24691358	0.6262403	0.999	10029	tags=49%, list=35%, signal=75%	
CHR18Q22	CHR18Q22		40	-0.29505268	-1.1631691	0.2238193	0.62157154	0.999	6698	tags=35%, list=24%, signal=46%	
CHR1Q42	CHR1Q42		155	-0.2284662	-1.1604307	0.2053388	0.6199863	0.999	4016	tags=19%, list=14%, signal=22%	
CHR15Q14	CHR15Q14		47	-0.28664693	-1.1537051	0.23717949	0.6316892	0.999	4357	tags=23%, list=15%, signal=28%	
CHR2P12	CHR2P12		22	-0.35254544	-1.1475128	0.28235295	0.6420771	0.999	7357	tags=36%, list=26%, signal=49%	
CHR1P21	CHR1P21		71	-0.25476217	-1.1459926	0.25157234	0.636907	0.999	9580	tags=48%, list=34%, signal=72%	
CHR19Q12	CHR19Q12		17	-0.36522716	-1.1457449	0.2780269	0.62815243	0.999	3698	tags=29%, list=13%, signal=34%	
CHR12Q21	CHR12Q21		86	-0.24563587	-1.1381557	0.23265307	0.6416558	1.0	5032	tags=24%, list=18%, signal=30%	
